"FR","EN"
"augmenter","raise"
"groupe","group"
"sol","ground"
"pauvres","poor"
"acier","steel"
"vrai","TRUE"
"similaire","similar"
"leur","their"
"nature","nature"
"chaque","each"
"saison","season"
"bruit","noise"
"arrière","back"
"ne sera pas","won’t"
"tous","all"
"moderne","modern"
"s’adapter","fit"
"voyage","trip"
"donner","give"
"exact","exact"
"hiver","winter"
"protéger","protect"
"nation","nation"
"pluie","rain"
"clair","clear"
"revendication","claim"
"voile","sail"
"nuit","night"
"rivage","shore"
"manière","way"
"côte","coast"
"mur","wall"
"phrase","phrase"
"vingt","twenty"
"développer","develop"
"mince","thin"
"déménagement","move"
"fin","end"
"a pris","took"
"conduire","lead"
"mal","wrong"
"frère","brother"
"commencer","begin"
"nez","nose"
"relier","connect"
"soins","care"
"substance","substance"
"mettre","put"
"boîte","box"
"beaucoup","many"
